VTS Site Number,Trading Name,VTS Address Line 1,VTS Address Line 2,VTS Address Line 3,VTS Address Line 14,VTS Postcode,VTS Telephone Number,1,2,3,4,5,7
V108297,"SPECIALIST CARS, SKODA,SEAT.",CRAIGSHAW ROAD,WEST TULLOS,,ABERDEEN,AB12 3ZG,_01224 402900,0,0,0,1,0,0
S000259,HALFORDS AUTOCENTRE,5 - 7 ST CLAIR STREET,,,ABERDEEN,AB24 5TT,_01224630103,0,0,0,1,0,1
95863,CAMPBELLS GARAGE,BLACKHOUSE INDUSTRIAL ESTATE,,,PETERHEAD,AB42 1BW,_01779470053,0,0,1,1,0,0
96236,GILLANDERS MOTORS LIMITED,BLACKHOUSE INDUSTRIAL ESTATE,,,PETERHEAD,AB42 7BW,_01779479777,0,0,0,1,0,1
6099BA,ABERDEENSHIRE COUNCIL,MINTLAW REPAIR DEPOT,MINTLAW,,PETERHEAD,AB42 8EE,_01771676650,0,0,0,1,1,1
V108956,GATES OF STEVENAGE,105 ASHLEY ROAD,,,ST ALBANS,AL1 5GD,_01727 791300,0,0,0,1,1,1
V108268,OSMAN MOTORS,216A HERBERT ROAD,SMALL HEATH,,BIRMINGHAM,B10 0GY,_01215727867,0,0,0,1,0,0
1ALR25,MSL CENTRE LTD,180-182 STRATFORD ROAD,SPARKBROOK,,BIRMINGHAM,B11 1AQ,_0121 7728282,0,0,0,1,1,1
54056,WEST WAY,884 WARWICK ROAD,TYSELEY,,BIRMINGHAM,B11 2ES,_0121 765 4321,0,0,0,1,0,0
V103942,SAKIS AUTO CENTRE,UNIT 2B COLE RIVER PARK,WARWICK ROAD,TYSLEY,BIRMINGHAM,B11 2QR,_0121 773 7786,0,0,0,1,1,1
6860BB,UK EUROPEAN INCORPORATED LTD,106 ICKNIELD PORT ROAD,LADYWOOD,,BIRMINGHAM,B16 0RB,_01214542712,0,0,0,1,0,0
7246B1,WHEEL ALIGNMENT CENTRE,264 OXHILL ROAD,HANDSWORTH,,BIRMINGHAM,B20 8ER,_01215238600,0,0,0,1,0,0
S001846,ANR MOT CENTRE LIMITED,UNIT C,PARK LANE INDUSTRIAL ESTATE,,BIRMINGHAM,B21 8LP,_0121 553 2709,0,0,0,1,1,1
