BA1 0AQ   375350    164482   
BA1 0AZ   375350    164482   
BA1 0BT   375350    164482   
BA1 0DH   375350    164482   
BA1 0DS   375350    164482   
BA1 0EJ   375350    164482   
BA1 0EQ   375350    164482   
BA1 0FA   375350    164482   
BA1 0FG   375350    164482   
BA1 0FH   375350    164482   
BA1 0GL   375350    164482   
BA1 0HE   375350    164482   
BA1 0HJ   375350    164482   
BA1 0JH   375350    164482   
BA1 0LR   375350    164482   
BA1 0LT   375350    164482   
BA1 0NG   375350    164482   
BA1 0QD   375350    164482   
BA1 0RA   375350    164482   
BA1 0RL   375350    164482   
BA1 0RQ   375350    164482   
BA1 0RR   375350    164482   
BA1 0RZ   375350    164482   
BA1 0SA   375127    164839   
BA1 0SB   375127    164839   
BA1 0SD   375126    164839   
BA1 0SE   375127    164839   
BA1 0SF   375127    164839   
BA1 0SG   375127    164839   
BA1 0SH   375127    164839   
BA1 0SJ   375127    164839   
BA1 0SL   375127    164839   
BA1 0SN   375127    164839   
BA1 0SP   375127    164839   
BA1 0SQ   375127    164839   
BA1 0SR   375127    164839   
BA1 0SS   375127    164839   
BA1 0ST   375127    164839   
BA1 0SU   375127    164839   
BA1 0SW   375127    164839   
BA1 0SX   375127    164839   
BA1 0SY   375127    164839   
BA1 0SZ   375127    164839   
BA1 0TA   375127    164839   
BA1 0TB   375127    164839   
BA1 0TD   375127    164839   
BA1 0TE   375127    164839   
BA1 0TF   375127    164839   
BA1 0TG   375127    164839   
BA1 0TH   375127    164839   
BA1 0TJ   375127    164839   
BA1 0TL   375127    164839   
BA1 0TN   375127    164839   
BA1 0TP   375127    164839   
BA1 0TQ   375127    164839   
BA1 0TR   375127    164839   
BA1 0TS   375127    164839   
BA1 0TT   375127    164839   
BA1 0TU   375127    164839   
BA1 0TW   375127    164839   
BA1 0TX   375127    164839   
BA1 0TY   375127    164839   
BA1 0TZ   375127    164839   
BA1 0UB   375350    164482   
BA1 0UD   375350    164482   
BA1 0UE   375350    164482   
BA1 0UN   375350    164482   
BA1 0UP   375350    164482   
